pageKey,url,canonical,entityRef,targetPhrases,metric,value,source,snapshotDate,synthetic,tier,minimumObjects,defaultRobots,templateKey,title,h1,description,status,morphologyApproved,release,contentGateRule
"{""kind"":""home""}","/","/","","fixture home intent","searchDemand","","fallback_no_data","2026-09-24","true","TEST","10","noindex,follow","home","Недвижимость Приморска — AMS Realty","Недвижимость Приморска","Подбор недвижимости в Приморске","draft","true","starter-v2.1.0","listing"
"{""kind"":""geoHub"",""geo"":""primorsk""}","/primorsk/","/primorsk/","geo:primorsk","fixture geo hub intent","searchDemand","","fallback_no_data","2026-09-24","true","TEST","10","noindex,follow","geoHub","Недвижимость Приморска — AMS Realty","Недвижимость Приморска","Квартиры, дома и новостройки в Приморске — 28 объектов.","draft","true","starter-v2.1.0","listing"
"{""kind"":""categoryRoot"",""category"":""kvartiry""}","/kvartiry/","/kvartiry/","category:kvartiry","fixture root catalog intent","searchDemand","","fallback_no_data","2026-09-24","true","TEST","10","noindex,follow","categoryRoot","Квартиры — AMS Realty","Квартиры","Квартиры — актуальные предложения. 21 объект.","draft","true","starter-v2.1.0","listing"
"{""kind"":""categoryGeo"",""geo"":""primorsk"",""category"":""kvartiry""}","/primorsk/kvartiry/","/primorsk/kvartiry/","geo:primorsk/category:kvartiry","fixture geo catalog intent","searchDemand","","fallback_no_data","2026-09-24","true","TEST","10","noindex,follow","categoryGeo","Квартиры в Приморске — AMS Realty","Квартиры в Приморске","Квартиры в Приморске — актуальные предложения. 18 объектов.","draft","true","starter-v2.1.0","listing"
"{""kind"":""categoryGeoDistrict"",""geo"":""primorsk"",""category"":""kvartiry"",""district"":""severnyy""}","/primorsk/kvartiry/severnyy/","/primorsk/kvartiry/severnyy/","district:severnyy","fixture district catalog intent","searchDemand","","fallback_no_data","2026-09-24","true","TEST","10","noindex,follow","categoryGeoDistrict","Квартиры на Северном районе в Приморске — AMS Realty","Квартиры на Северном районе в Приморске","Квартиры на Северном районе в Приморске — актуальные предложения. 12 объектов.","draft","true","starter-v2.1.0","listing"
"{""kind"":""categoryGeoFacet"",""geo"":""primorsk"",""category"":""kvartiry"",""facet"":""dvukhkomnatnye""}","/primorsk/kvartiry/dvukhkomnatnye/","/primorsk/kvartiry/dvukhkomnatnye/","facet:dvukhkomnatnye","fixture facet catalog intent","searchDemand","","fallback_no_data","2026-09-24","true","TEST","10","noindex,follow","categoryGeoFacet","Двухкомнатные квартиры в Приморске — AMS Realty","Двухкомнатные квартиры в Приморске","Двухкомнатные квартиры в Приморске — актуальные предложения. 11 объектов.","draft","true","starter-v2.1.0","listing"
"{""kind"":""geoDevelopers"",""geo"":""primorsk""}","/primorsk/zastroyshchiki/","/primorsk/zastroyshchiki/","geo:primorsk/developers","fixture geo developers intent","searchDemand","","fallback_no_data","2026-09-24","true","TEST","10","noindex,follow","geoDevelopers","Застройщики в Приморске — AMS Realty","Застройщики в Приморске","Застройщики и проверенные жилые комплексы в Приморске — 7 объектов.","draft","true","starter-v2.1.0","developerGeo"
"{""kind"":""development"",""developmentKind"":""residential_complex"",""slug"":""severnyy-bereg""}","/novostroyki/zhk-severnyy-bereg/","/novostroyki/zhk-severnyy-bereg/","development:severnyy-bereg","fixture development normal intent","searchDemand","","fallback_no_data","2026-09-24","true","TEST","10","noindex,follow","developmentNormal","ЖК «Северный берег» — AMS Realty","ЖК «Северный берег»","ЖК «Северный берег» в Приморске — от 6,2 млн ₽.","draft","true","starter-v2.1.0","development"
"{""kind"":""development"",""developmentKind"":""cottage_village"",""slug"":""severnyy-bereg""}","/kottedzhnye-poselki/kp-severnyy-bereg/","/kottedzhnye-poselki/kp-severnyy-bereg/","development:severnyy-bereg-kp","fixture development collision intent","searchDemand","","fallback_no_data","2026-09-24","true","TEST","10","noindex,follow","developmentCollision","КП «Северный берег» в Приморске — AMS Realty","КП «Северный берег» в Приморске","КП «Северный берег» в Приморске","draft","true","starter-v2.1.0","development"
"{""kind"":""developer"",""slug"":""stroy-invest""}","/zastroyshchiki/stroy-invest/","/zastroyshchiki/stroy-invest/","developer:stroy-invest","fixture developer intent","searchDemand","","fallback_no_data","2026-09-24","true","TEST","10","noindex,follow","developer","Строй Инвест — AMS Realty","Строй Инвест","Объекты застройщика Строй Инвест в Приморске — 4 объекта.","draft","true","starter-v2.1.0","developer"
"{""kind"":""property"",""category"":""kvartiry"",""semantic"":""ulitsa-mira-10"",""publicUrlId"":42}","/kvartiry/ulitsa-mira-10-42/","/kvartiry/ulitsa-mira-10-42/","property:42","fixture property intent","searchDemand","","fallback_no_data","2026-09-24","true","TEST","10","noindex,follow","property","2-комнатная квартира, улица Мира, 10 — AMS Realty","2-комнатная квартира, улица Мира, 10","2-комнатная квартира, улица Мира, 10 в Приморске — 5,8 млн ₽.","draft","true","starter-v2.1.0","secondary"
